position,lizard_id,trt,sex,current_enclosure,clutch,hatch_date,test_date,age,notes,day,test_type,pos_high_lat,pos_high_risk,choice,lat_high,lat_low,latency,time_high,time_low,compared_interest,ratio_interest,side_choice
B2,2811,B_28,m,E789_23,CL772_24,17/1/2024,18/5/2024,122,,2,2 VS 3,Left,Far,0,888,45,45,115,186,-71,-0.235880399,Right
B2,2973,A_28,m,E735_23,CL818_24,5/1/2024,18/5/2024,134,,2,2 VS 3,Right,Far,0,716,288,288,165,188,-23,-0.065155807,Left
B2,3003,B_23,f,E4005_23,CL824_24,31/1/2024,18/5/2024,108,,2,3 VS 4,Left,Close,0,1804,1468,1468,111,96,15,0.072463768,Right
B2,3035,A_23,m,E1017_23,CL832_24,24/1/2024,18/5/2024,115,,2,2 VS 4,Left,Far,0,1317,901,901,79,50,29,0.224806202,Right
B3,2898,A_23,f,E425_23,CL800_24,19/1/2024,18/5/2024,120,,2,1 VS 3,Right,Close,1,637,798,637,214,89,125,0.412541254,Right
B3,2915,B_23,m,E247_23,CL804_24,22/1/2024,18/5/2024,117,,2,2 VS 3,Left,Close,0,749,320,320,290,258,32,0.058394161,Right
B3,3182,A_28,m,E802_23,CL870_24,17/1/2024,18/5/2024,122,,2,2 VS 4,Right,Far,0,686,530,530,104,124,-20,-0.087719298,Left
B3,3208,B_28,f,E200_23,CL875_24,19/1/2024,18/5/2024,120,,2,2 VS 4,Right,Close,1,209,963,209,98,148,-50,-0.203252033,Right
B4,2976,A_23,m,E722_23,CL819_24,22/1/2024,18/5/2024,117,Might be two clutches.,2,1 VS 4,Left,Far,0,500,97,97,149,209,-60,-0.167597765,Right
B4,3183,B_28,m,E151_23,CL870_24,17/1/2024,18/5/2024,122,,2,1 VS 3,Right,Far,0,803,535,535,96,70,26,0.156626506,Left
B4,3205,B_28,f,E772_23,CL875_24,17/1/2024,18/5/2024,122,,2,1 VS 4,Right,Close,1,992,1332,992,142,107,35,0.140562249,Right
C1,2880,B_23,m,E427_23,CL796_24,19/1/2024,18/5/2024,120,,2,2 VS 4,Left,Far,0,481,276,276,19,119,-100,-0.724637681,Right
C1,2991,A_23,f,E976_23,CL821_24,24/1/2024,18/5/2024,115,,2,3 VS 4,Right,Close,1,332,366,332,71,35,36,0.339622642,Right
C1,3076,B_28,f,E0143_23,CL845_24,12/1/2024,18/5/2024,127,,2,3 VS 4,Left,Close,0,2597,1760,1760,154,144,10,0.033557047,Right
C2,2831,B_23,m,E705_23,CL780_24,17/1/2024,18/5/2024,122,,2,1 VS 3,Left,Far,1,969,1100,969,123,36,87,0.547169811,Left
C2,3150,A_28,f,E094_23,CL864_24,17/1/2024,18/5/2024,122,,2,1 VS 3,Left,Close,1,1723,1920,1723,165,115,50,0.178571429,Left
C2,3161,B_28,f,E664_23,CL866_24,17/1/2024,18/5/2024,122,,2,2 VS 3,Left,Close,1,200,486,200,226,142,84,0.22826087,Left
C3,2975,B_23,m,E915_23,CL819_24,24/1/2024,18/5/2024,115,Might be two clutches.,2,1 VS 4,Right,Close,0,713,35,35,136,300,-164,-0.376146789,Left
C3,3151,B_28,f,E801_23,CL864_24,17/1/2024,18/5/2024,122,,2,2 VS 4,Right,Close,0,255,118,118,219,119,100,0.295857988,Left
C3,3175,A_28,f,E733_23,CL868_24,15/1/2024,18/5/2024,124,"Likely multiple clutches, but delineation unclear.",2,1 VS 4,Left,Close,1,350,724,350,160,143,17,0.056105611,Left
